,,,0
2012,std_3m,IC平均值,-0.04316862773481888
2012,std_3m,IC标准差,0.1140469368258976
2012,std_3m,ICIR,-0.37851632789330836
2012,std_3m,IC>0概率,0.16666666666666666
2012,std_6m,t值绝对值平均值,5.541802025380883
2012,std_6m,t值绝对值>2概率,0.75
2012,std_6m,因子收益平均值,-0.003300946892514523
2012,std_6m,因子收益标准差,0.011072634162176066
2012,std_6m,因子收益t值,-0.988744153830936
2012,std_6m,因子收益>0概率,0.25
2012,std_6m,IC平均值,-0.042590526694497054
2012,std_6m,IC标准差,0.11917101942386119
2012,std_6m,ICIR,-0.3573899669601157
2012,std_6m,IC>0概率,0.16666666666666666
2012,turn_12m,t值绝对值平均值,3.9246959668897965
2012,turn_12m,t值绝对值>2概率,0.75
2012,turn_12m,因子收益平均值,-0.003160446745325613
2012,turn_12m,因子收益标准差,0.008249700652188309
2012,turn_12m,因子收益t值,-1.2705934998216593
2012,turn_12m,因子收益>0概率,0.25
2012,turn_12m,IC平均值,-0.042830295763507165
2012,turn_12m,IC标准差,0.1052023435456017
2012,turn_12m,ICIR,-0.40712301950708596
2012,turn_12m,IC>0概率,0.25
2012,turn_1m,t值绝对值平均值,6.009424328793483
2012,turn_1m,t值绝对值>2概率,0.9166666666666666
2012,turn_1m,因子收益平均值,-0.0068858750483008395
2012,turn_1m,因子收益标准差,0.009862084741069822
2012,turn_1m,因子收益t值,-2.315723752948288
2012,turn_1m,因子收益>0概率,0.16666666666666666
2012,turn_1m,IC平均值,-0.0839024440006057
2012,turn_1m,IC标准差,0.11716020007210327
2012,turn_1m,ICIR,-0.7161343523566029
2012,turn_1m,IC>0概率,0.16666666666666666
2012,turn_3m,t值绝对值平均值,5.333160742971088
2012,turn_3m,t值绝对值>2概率,0.9166666666666666
2012,turn_3m,因子收益平均值,-0.005395133586122071
2012,turn_3m,因子收益标准差,0.009600693062219763
2012,turn_3m,因子收益t值,-1.8637856332920124
2012,turn_3m,因子收益>0概率,0.25
2012,turn_3m,IC平均值,-0.0664817790936028
2012,turn_3m,IC标准差,0.11511857048988487
2012,turn_3m,ICIR,-0.5775069896254866
2012,turn_3m,IC>0概率,0.16666666666666666
2012,turn_6m,t值绝对值平均值,4.866532546721995
2012,turn_6m,t值绝对值>2概率,0.8333333333333334
2012,turn_6m,因子收益平均值,-0.0044063139456040476
2012,turn_6m,因子收益标准差,0.009458099097052449
2012,turn_6m,因子收益t值,-1.5451402989247045
2012,turn_6m,因子收益>0概率,0.25
2012,turn_6m,IC平均值,-0.05576898605602199
2012,turn_6m,IC标准差,0.11614271755940266
2012,turn_6m,ICIR,-0.4801763487882763
2012,turn_6m,IC>0概率,0.25
2012,wgt_return_12m,t值绝对值平均值,2.9631436473558015
2012,wgt_return_12m,t值绝对值>2概率,0.6666666666666666
2012,wgt_return_12m,因子收益平均值,-0.00448278423477741
2012,wgt_return_12m,因子收益标准差,0.004489347800841543
