,DEA,DIF,DTOA_barra,LNCAP_barra,MACD,MIDCAP_barra,PSY,ROA_ttm,RSI,RSTR_barra,SP,STOA_barra,STOM_barra,STOQ_barra,bias_turn_12m,bias_turn_1m,bias_turn_3m,bias_turn_6m,exp_wgt_return_12m,exp_wgt_return_1m,exp_wgt_return_3m,exp_wgt_return_6m,ln_capital,std_12m,std_1m,std_3m,std_6m,turn_12m,turn_1m,turn_3m,turn_6m,wgt_return_12m,wgt_return_1m,wgt_return_3m,wgt_return_6m
2013-09-30,-4.3876571461014935,-5.012923816780083,2.312716025691709,0.035297600191198195,-2.7675339133033563,2.5933614120146844,-5.313263429150345,0.7487907780883529,-2.9991811585554697,-8.911344768047078,7.868456882293999,-5.819556132409594,-8.886729518875805,-8.36623793358945,-2.9224206628952527,-5.57165775346511,-6.309192960688708,-6.083830939840975,-9.832054742448513,-5.556991415588764,-8.317923449856622,-9.661815654160574,0.035297600191198195,-10.13282592829011,-12.644465211905725,-13.2800358403907,-12.435999704169777,-5.348464729202514,-8.733730709217735,-8.03389471286926,-7.342782306079907,-6.5099421905482195,-7.242874891610031,-9.131972648722444,-8.56009005765466
2013-10-31,1.4903200839235737,1.2007307639514646,-6.40239107887315,-3.9919336104344256,-0.4163933280481698,4.35386508248589,0.1729690932763787,3.744479393665512,1.3051347388131802,2.364995269171388,-4.060151810199316,4.146728506678684,1.758554792644636,2.9853569772493342,-0.44655021844927567,-1.5619462270481594,-1.0793600431251982,-0.7786439847936764,2.711634235128271,-2.5455242740726303,0.21518785004176197,0.8408988517937428,-3.9919336104344256,2.440087671393048,3.733344291815339,3.7641439439341537,3.2195189423287327,5.377713062110799,4.008951342047439,4.712494635651151,5.116129490590465,4.6962301035939396,0.3816658759104808,2.4154644649856936,4.3066144872851435
2013-11-29,2.2664614744580636,2.7019535240630344,-4.354931126809736,-0.9561726870706506,0.7912228132831504,-0.3201278358652898,2.1003487118006703,8.710394049322964,1.2807466051578356,3.197860852621627,-1.0859542894128966,-2.204497638794305,-3.9789293309553417,-3.360344979769151,-0.16730689616599867,-2.543233986752224,-2.227187229744252,-0.36083947863388466,-3.48255992465766,-1.873279001097579,-2.7531200130537896,-3.118807188070905,-0.9561726870706506,-1.5761155045702777,-2.921764223175765,-1.6058162538739957,-1.5112763839788832,-2.267221975960181,-4.110065994376625,-3.395617631540625,-2.342594056887009,-2.542268851705478,-3.212186405568796,-3.919648159836343,-2.2167753120107783
2013-12-31,3.834607873646876,4.130714194988502,-4.011711998873911,-2.5399982769869496,3.0176690042233374,-1.8879622834740597,2.11488401944492,2.7566499593311793,5.693615881158343,10.11957033758713,-3.780247064063189,3.070790537983743,3.4788821413243056,2.488952805090609,4.3992992560871755,2.950247464007394,1.9988960028005083,4.789801667391321,5.1854801299765825,5.023413410407367,4.5728036447787295,3.5916642919012656,-2.5399982769869496,5.702725251339285,7.924833315452948,6.90590420817888,7.364937233284984,4.466895994865589,4.491197618267726,4.178782846972342,5.7341004688044155,7.183776593280452,0.6504065315560172,0.9265995582163636,6.836892568222835
2014-01-30,-6.983122443873117,-4.9949880736771375,4.242321731711092,0.15361381192959137,0.9218078992863183,0.052517720528349285,-4.660571783308372,-5.019571985186577,-1.2900863437961796,-10.063756221366114,5.05454595639678,-6.948003576635426,-8.58368697177581,-8.97121140328289,1.1936795459297385,-5.421960894024225,-3.7103216825978973,-0.0002194101146508292,-6.673279610557182,-2.3899528522110653,-5.1466950484282545,-6.148084251051334,0.15361381192959137,-5.416039380097717,-6.874027016960804,-8.353027815700747,-6.44746477604259,-5.5100642842542955,-8.099978830947137,-7.539969098272294,-5.782660758716451,-5.5738815613704,-4.63821909790431,-7.772666627493572,-5.098516838794155
2014-02-28,-9.387978076061016,-7.0914184588183184,3.9348466224131724,-1.7514745653659776,-1.2235130533592844,1.9975393828843204,-4.056003145991665,-3.832767546758332,-5.448502337493713,-10.623305548172473,6.717235751006947,-11.458787809949056,-15.474590155018731,-13.711859579561594,-5.37167315411465,-7.576569174477002,-7.2340710199040394,-4.6506525709149,-12.793589148344887,-2.4807181334101975,-6.374378496656932,-10.489102830246624,-1.7514745653659776,-14.251413570455203,-15.964773124335993,-15.719021485686683,-13.614253146806158,-12.263280304312657,-14.636786617606584,-13.28889999577042,-12.458375775443667,-12.141298329500751,-8.460819844207307,-10.63219014442462,-11.976876888791349
2014-03-31,-1.8665712091301787,-0.3312063187373856,0.7603454144549762,-0.014215295385492537,2.6020033267911282,4.874443414350501,0.40146576277989576,-0.09627814954975338,1.6732644190509345,-3.146606952010908,0.2913808449182583,-6.362877545721351,-5.0665331589035105,-5.791139889135175,-2.974992257547333,-1.3164758392287423,-2.1320261236953586,-2.146079408061227,-5.073886793606002,1.3219799683687485,-1.6829103844449604,-3.5613232814885105,-0.014215295385492537,-5.2897717660345345,-4.06511491201472,-4.826344774521908,-4.738839771212394,-5.158763406445126,-5.232280469747633,-5.438472331045918,-4.96121178621997,-6.367628449708216,-1.2800512738936871,-5.368373281321228,-4.979005840183842
2014-04-30,-4.295741231006693,-4.074409039010315,-0.9458446184888137,-3.9981430753251277,-2.006404179599589,3.0567196501611584,-1.029411518235582,-3.4857023871351593,-2.6445297747945364,-0.35847332841491536,-0.22152456973769755,0.5273899181148273,-1.6539517890500737,0.1124209297939073,0.7549692950460084,-3.3870432939499504,-2.3049566743143197,-0.34236765493653704,0.16065145530570304,-3.9350390402084576,-3.918196830294599,-2.6057080514504443,-3.9981430753251277,3.25164867667885,-0.9154236159602105,0.6889644149322282,2.5046458376868586,3.774218592252278,-0.5940597682448496,1.4654443619640487,2.730856447059351,4.809665272126782,-2.3151282486433358,-2.1671529811035253,1.2272555716779225
2014-05-30,-0.9886422725357805,-0.978340312952889,-3.351437620219296,-2.6132395316271966,2.8482463454408804,5.297409340275975,1.9461740940525345,2.8770856243908116,0.6442713795840843,0.6230912284621685,-2.6967648236183264,2.527794845011912,1.0880312988888114,2.4315682861786625,0.14930439983313812,-1.3908290123212688,-0.6093300534769649,0.8213258261796031,0.5612380175704018,-0.26602869275681934,-1.5629812172313131,-1.50349987934712,-2.6132395316271966,1.0086909036749208,-0.8374973775584198,1.155223169891523,1.493157006996238,4.418229745096661,2.1726556031040873,3.9613490991435896,5.031367674743652,2.052652833611899,-0.6517500655107584,-2.012080545193178,1.277792959492032
2014-06-30,-6.682563602981253,-6.9403046094589556,6.254040279095582,2.9498746541822256,-1.4693996262952607,-0.48886178559770294,-0.04973739237568417,-2.935787471845647,-3.1634176321696623,-10.167326894446377,8.368189550539375,-7.932662664785245,-7.576547716506478,-7.050769145595758,-1.7860264062453042,-2.3534828059488744,0.11504000219614396,-0.8121634791244657,-7.056905902815619,-2.936187014642771,-5.873723639884091,-6.554677982253178,2.9498746541822256,-9.584313678920017,-8.422850055442435,-8.096231443910648,-9.037725012719338,-8.680745942051033,-7.614692758868863,-6.9736059126968115,-7.725902199086514,-7.635454273435025,-6.984179861370687,-6.202422662366449,-5.1619700406448175
