,net_value,netval_pctchg,benchmark_nv,benchmark_pctchg
2018-01-15,312453942.2992219,-0.0007684383376669324,1.9097273515773905,5.640235351411782e-05
2018-01-16,313248732.34354675,0.002543703044603385,1.9247483483488912,0.007865519001491794
2018-01-17,312990427.5490895,-0.0008245996480967799,1.9200673632294574,-0.002431998512142819
2018-01-18,314379083.9006134,0.00443673745040063,1.930598698385479,0.0054848779567340245
2018-01-19,315384932.75341237,0.003199477650736249,1.9369165774381092,0.0032724973128355206
2018-01-22,319649894.8029867,0.01352303679297484,1.960059082939846,0.011948116801368203
2018-01-23,322972083.3656219,0.010393210248615503,1.9808572088463503,0.010610968866973991
2018-01-24,323426332.9134239,0.0014064669090538828,1.984144194554263,0.001659375392246032
2018-01-25,321721469.0426039,-0.005271258698890002,1.9729324021924686,-0.0056506943359090345
2018-01-26,323270951.488218,0.0048162233320179215,1.980263622364556,0.003715900333909339
2018-01-29,317144068.9280213,-0.018952777946768307,1.9444299007043218,-0.018095429949597563
2018-01-30,314253648.7786631,-0.009113902584172884,1.9236767468947782,-0.010673130361771421
2018-01-31,315929579.98897296,0.005333052509726821,1.9326243862664707,0.004651321687043186
2018-02-01,315759139.14253396,-0.0005394899915511786,1.9190645984624513,-0.007016256185308101
2018-02-02,317028684.36090755,0.004020612742424934,1.9305154435084924,0.005966888793225378
2018-02-05,316852987.0851183,-0.0005541999334963688,1.9318324253790873,0.0006821918338044686
2018-02-06,307206063.6017145,-0.030446055036913,1.875216939519987,-0.029306623657065156
2018-02-07,301662344.868982,-0.018045603227154317,1.8307472644987552,-0.02371441622781778
2018-02-08,299556825.5350448,-0.006979722095748153,1.8133685998943267,-0.009492661789767376
2018-02-09,287167226.88606536,-0.04135976079613646,1.7359015639894182,-0.04271996102139575
2018-02-12,291523613.5845024,0.015170208472868207,1.758252876971258,0.012875910388877365
2018-02-13,294681093.47279817,0.010830957566257515,1.7788305718055233,0.01170348992672321
2018-02-14,296351872.4751772,0.0056697868963666576,1.7929906806063594,0.007960347109653876
2018-02-22,302682549.2172428,0.021362027137506345,1.8317578937329686,0.021621536322485868
2018-02-23,304021977.6587889,0.004425192152669455,1.8400543190614345,0.004529214999891895
2018-02-26,309008174.7738022,0.016400778500985203,1.8614464382325195,0.01162580851525985
2018-02-27,305718729.7847061,-0.01064517141497634,1.8345815990450547,-0.014432238626738814
2018-02-28,303589309.74051315,-0.006965291415715891,1.8186090017414822,-0.00870639785762961
2018-03-01,306036363.21685517,0.008060407260168656,1.8301095646836607,0.006323823829732289
2018-03-02,303205164.1727641,-0.009251185102094772,1.8153635530758878,-0.008057447429559605
2018-03-05,303379335.6612244,0.0005744344392533129,1.816102993785715,0.00040732376089303024
2018-03-06,306753590.27031744,0.01112222954058062,1.8380094671913862,0.012062351904396529
2018-03-07,304365052.03782254,-0.007786504569971209,1.8244902220717627,-0.007355372951523442
2018-03-08,307614842.38714576,0.01067727824717335,1.8429972569280757,0.010143674453512608
2018-03-09,310980309.26165676,0.010940521752443422,1.8571284841510647,0.007667524826674432
2018-03-12,313197154.22783434,0.007128570202534323,1.8656261765627122,0.004575715942201963
2018-03-13,310368885.2969359,-0.009030314907781722,1.849168242196663,-0.008821667798621813
2018-03-14,308837536.2875777,-0.004933964330519625,1.8410738975169525,-0.004377289472641599
2018-03-15,310530440.7013709,0.005481537102461687,1.8513871970993674,0.005601784695510759
2018-03-16,306969758.2316542,-0.011466452247562042,1.8334254319694205,-0.009701787480267843
2018-03-19,309032074.96844196,0.006718305896541876,1.8414821266423287,0.004394339978285311
